uuid,parentId,name,value
342bcd02-f6eb-11ec-b939-0242ac120002,342b5d5e-f6eb-11ec-b939-0242ac120002,Chores,1000
342bce10-f6eb-11ec-b939-0242ac120002,342b5d5e-f6eb-11ec-b939-0242ac120002,Sharing a dwelling or home,1000
342bcf14-f6eb-11ec-b939-0242ac120002,342b5d5e-f6eb-11ec-b939-0242ac120002,Sharing a sleeping space,1000
342bd00e-f6eb-11ec-b939-0242ac120002,342b5d5e-f6eb-11ec-b939-0242ac120002,Cooking together,1000
342bd112-f6eb-11ec-b939-0242ac120002,342b5d5e-f6eb-11ec-b939-0242ac120002,Sharing meals,1000
342bd216-f6eb-11ec-b939-0242ac120002,342b5e58-f6eb-11ec-b939-0242ac120002,Age play,1000
342bd31a-f6eb-11ec-b939-0242ac120002,342b5e58-f6eb-11ec-b939-0242ac120002,Pet play,1000
342bd694-f6eb-11ec-b939-0242ac120002,342b5e58-f6eb-11ec-b939-0242ac120002,D/s,1000
342bd7ac-f6eb-11ec-b939-0242ac120002,342b5e58-f6eb-11ec-b939-0242ac120002,M/s,1000
342bd8b0-f6eb-11ec-b939-0242ac120002,342b5f70-f6eb-11ec-b939-0242ac120002,Family (sick or elderly),1000
342bd9aa-f6eb-11ec-b939-0242ac120002,342b5f70-f6eb-11ec-b939-0242ac120002,Children,1000
342bdab8-f6eb-11ec-b939-0242ac120002,342b5f70-f6eb-11ec-b939-0242ac120002,Animals,1000
342bdbbc-f6eb-11ec-b939-0242ac120002,342b5f70-f6eb-11ec-b939-0242ac120002,Plants,1000
342bdcb6-f6eb-11ec-b939-0242ac120002,342b607e-f6eb-11ec-b939-0242ac120002,Social + collaborative,1000
342bddb0-f6eb-11ec-b939-0242ac120002,342b607e-f6eb-11ec-b939-0242ac120002,Colleagues,1000
342be0a8-f6eb-11ec-b939-0242ac120002,342b607e-f6eb-11ec-b939-0242ac120002,Business partners,1000
342be1ac-f6eb-11ec-b939-0242ac120002,342b643e-f6eb-11ec-b939-0242ac120002,Being vulnerable,1000
342be2a6-f6eb-11ec-b939-0242ac120002,342b643e-f6eb-11ec-b939-0242ac120002,Love languages,1000
342be3a0-f6eb-11ec-b939-0242ac120002,342b643e-f6eb-11ec-b939-0242ac120002,Sharing values,1000
